"Data","Y","X","moderator","X_coef","X_pvalue","X_ci_lwr","X_ci_upr","moderator_coef","moderator_pvalue","moderator_ci_lwr","moderator_ci_upr","interaction_coef","interaction_pvalue","interaction_ci_lwr","interaction_ci_upr","significant"
"mesa","cvd_10y_HF","nSES","FamIncome",0.0165565983061507,0.92775012758031,-0.338528912336042,0.37815886334104,-0.0309934088735384,0.642121399635662,-0.160968638642533,0.100578904364483,0.0187721459371061,0.750181611460099,-0.0972043175906505,0.134143820120167,"N"
"mesa","cvd_10y_HF","nSES","nutrition",0.230679805841364,0.163854575452177,-0.0932234073844988,0.556785207635373,-0.195241259685153,0.0747851942832158,-0.411925302053507,0.017897829752719,-0.118594638079358,0.268811176226945,-0.328560113507762,0.0922451442627557,"N"
"mesa","cvd_10y_HF","nSES","PhysAct",-0.00584931387486403,0.974057613016519,-0.353183109898974,0.353028934920465,-0.0979663780103057,0.125468392602127,-0.222113044846237,0.0287401609469152,0.0310504528809046,0.644190886984581,-0.102652799405585,0.161276821216688,"N"
"mesa","cvd_10y_HF","nSES","currentSmoker",0.0832968386023917,0.612879828399056,-0.238454590309667,0.407328259541889,0.220637799196952,0.00424832544587836,0.0690837626786339,0.37176399662683,-0.00782343069006798,0.923150087073776,-0.16648632550787,0.151657570434851,"N"
"mesa","cvd_10y_HF","nSES","alc",0.0228523852786508,0.916840434715163,-0.399140066253884,0.460260677785319,-0.0240440277038211,0.837223635405242,-0.251171111923479,0.207998886767754,0.0276618688600708,0.820701562321611,-0.215357727886713,0.26377524673759,"N"
"mesa","cvd_10y_HF","nFavFood","FamIncome",-0.524356753468213,0.0157705920792479,-0.958587747231985,-0.106040710329037,-0.0322562683934607,0.627665098039982,-0.161944651117038,0.0988628622675583,0.0961129759786538,0.10374671385957,-0.0187894787648664,0.213243220011861,"N"
"mesa","cvd_10y_HF","nFavFood","nutrition",-0.386082075623034,0.0704345552192017,-0.813100695507448,0.024648106496429,-0.200165479984536,0.0674865824295987,-0.416726043439496,0.012699485364685,0.0859270946615433,0.425638993465962,-0.127204063934512,0.296799713867009,"N"
"mesa","cvd_10y_HF","nFavFood","PhysAct",-0.256090674480245,0.222028930134441,-0.680951985553805,0.142991015287187,-0.0910052156370159,0.144791377491045,-0.212508274113065,0.032288864063977,-0.0017898711706418,0.978175214278552,-0.127613561613312,0.129721068385604,"N"
"mesa","cvd_10y_HF","nFavFood","currentSmoker",0.0295001861652958,0.875592283076633,-0.34831371602045,0.391747273831395,0.211736581990777,0.0055150314970779,0.0618766883330395,0.361114313975206,-0.174828284041655,0.0315712467068726,-0.3364261846158,-0.0170087438135284,"Y"
"mesa","cvd_10y_HF","nFavFood","alc",-0.00467714608264752,0.983020592185656,-0.444871039492094,0.41819313782458,-0.0207187128381303,0.855321814105942,-0.24202516855787,0.203670898696239,-0.16428716789698,0.139365105658283,-0.381758914004916,0.0551807945473585,"N"
