,Data,Bootstrap Result Name,Mean,2.5%,97.5%
0,mesa_bla_raw,bp_1_nSES_FamIncome,-0.009955279865435493,-0.10363,0.08113
1,mesa_bla_raw,bp_2_nFavFood_FamIncome,0.020853343689096457,-0.04439,0.09177
2,mesa_bla_raw,bp_3_nPhysFac_FamIncome,0.03356952872181076,-0.07436,0.15581
3,mesa_bla_raw,bp_4_nRS_FamIncome,-0.0039619991272264775,-0.05331,0.05044
4,mesa_bla_raw,bp_5_nSES_nutrition,0.07410195598011043,-0.60475,0.91498
5,mesa_bla_raw,bp_6_nFavFood_nutrition,-0.25555974181216234,-0.78122,0.2472
6,mesa_bla_raw,bp_7_nPhysFac_nutrition,0.1041009440630716,-0.83923,0.82124
7,mesa_bla_raw,bp_8_nRS_nutrition,-0.026015091924566542,-0.33128,0.27309
8,mesa_bla_raw,bp_9_nSES_PhysAct,0.24965528022276615,-0.164,0.65661
9,mesa_bla_raw,bp_10_nFavFood_PhysAct,0.0886453435260006,-0.2068,0.42554
10,mesa_bla_raw,bp_11_nPhysFac_PhysAct,0.03201121076484577,-0.41112,0.60109
11,mesa_bla_raw,bp_12_nRS_PhysAct,0.0006693564660592473,-0.18959,0.21781
12,mesa_bla_raw,bp_13_nSES_currentSmoker,-0.07098517966070243,-0.46849,0.39421
13,mesa_bla_raw,bp_14_nFavFood_currentSmoker,-0.08328868325133004,-0.44085,0.25578
14,mesa_bla_raw,bp_15_nPhysFac_currentSmoker,-0.29703461000112735,-0.90794,0.27223
15,mesa_bla_raw,bp_16_nRS_currentSmoker,-0.06550128331290958,-0.25269,0.1232
16,mesa_bla_raw,bp_17_nSES_alc,0.011023196730294518,-0.64541,0.69437
17,mesa_bla_raw,bp_18_nFavFood_alc,-0.31010828343029223,-0.7894,0.16548
18,mesa_bla_raw,bp_19_nPhysFac_alc,-0.3157691784667137,-1.17691,0.62115
19,mesa_bla_raw,bp_20_nRS_alc,-0.06003140297794762,-0.39206,0.30615
20,mesa_bla_imputed,bp_1_nSES_FamIncome,-0.0025163604558978746,-0.23835,0.23739
21,mesa_bla_imputed,bp_2_nFavFood_FamIncome,0.08647188609448299,-0.1061,0.28028
22,mesa_bla_imputed,bp_3_nPhysFac_FamIncome,0.07579538685330493,-0.19774,0.3402
23,mesa_bla_imputed,bp_4_nRS_FamIncome,0.06277741943161527,-0.08598,0.22434
